Post Date,Post Subtype,Post Type,Number Of Comments,Number Of Likes,Number Of Posts
22-02-2023,Collection,Visual,0,3,48
22-02-2023,Course Certificate,Visual,0,7,55
22-02-2023,Career Track Certificate,Visual,0,0,1
23-02-2023,Text Post,Text Post,3,3,3
23-02-2023,Level,Visual,0,0,150
23-02-2023,Streak,Visual,0,0,25
23-02-2023,Collection,Visual,0,2,39
23-02-2023,Course Certificate,Visual,0,9,55
23-02-2023,Career Track Certificate,Visual,0,0,1
24-02-2023,Text Post,Text Post,1,0,1
24-02-2023,Level,Visual,0,2,157
24-02-2023,Streak,Visual,0,4,27
24-02-2023,Collection,Visual,0,1,38
24-02-2023,Course Certificate,Visual,1,13,46
24-02-2023,Career Track Certificate,Visual,0,1,1
25-02-2023,Level,Visual,0,2,149
25-02-2023,Goal,Visual,0,4,8
25-02-2023,Streak,Visual,0,5,22
25-02-2023,Collection,Visual,0,1,36
25-02-2023,Course Certificate,Visual,0,15,48
26-02-2023,Level,Visual,0,3,122
26-02-2023,Goal,Visual,0,30,57
26-02-2023,Streak,Visual,0,7,25
26-02-2023,Collection,Visual,0,0,36
26-02-2023,Course Certificate,Visual,2,16,47
27-02-2023,Level,Visual,0,5,118
27-02-2023,Goal,Visual,0,0,1
27-02-2023,Streak,Visual,0,5,30
27-02-2023,Collection,Visual,0,2,38
27-02-2023,Course Certificate,Visual,0,11,51
27-02-2023,Career Track Certificate,Visual,0,1,1
28-02-2023,Level,Visual,0,2,112
28-02-2023,Streak,Visual,1,7,19
28-02-2023,Collection,Visual,0,1,32
28-02-2023,Course Certificate,Visual,0,6,59
01-03-2023,Text Post,Text Post,1,2,2
01-03-2023,Level,Visual,0,1,234
01-03-2023,Streak,Visual,0,7,22
01-03-2023,Collection,Visual,0,2,141
01-03-2023,Course Certificate,Visual,0,5,58
01-03-2023,Career Track Certificate,Visual,0,0,1
02-03-2023,Level,Visual,0,2,461
02-03-2023,Streak,Visual,0,2,27
02-03-2023,Collection,Visual,0,0,280
02-03-2023,Course Certificate,Visual,0,8,106
02-03-2023,Career Track Certificate,Visual,0,0,1
03-03-2023,Text Post,Text Post,1,1,1
03-03-2023,Level,Visual,0,4,376
03-03-2023,Streak,Visual,0,2,18
03-03-2023,Collection,Visual,0,2,238
03-03-2023,Course Certificate,Visual,0,6,113
04-03-2023,Level,Visual,0,3,397
04-03-2023,Goal,Visual,0,4,7
04-03-2023,Streak,Visual,0,4,24
04-03-2023,Collection,Visual,0,1,221
04-03-2023,Course Certificate,Visual,0,6,107
05-03-2023,Level,Visual,1,12,374
05-03-2023,Goal,Visual,1,29,64
05-03-2023,Streak,Visual,0,3,20
05-03-2023,Collection,Visual,0,2,197
05-03-2023,Course Certificate,Visual,0,15,144
05-03-2023,Career Track Certificate,Visual,0,1,2
06-03-2023,Text Post,Text Post,0,1,1
06-03-2023,Level,Visual,0,9,354
06-03-2023,Goal,Visual,0,2,5
06-03-2023,Streak,Visual,0,3,33
06-03-2023,Collection,Visual,0,1,215
06-03-2023,Course Certificate,Visual,0,24,137
06-03-2023,Career Track Certificate,Visual,1,4,4
07-03-2023,Text Post,Text Post,2,3,3
07-03-2023,Level,Visual,0,7,366
07-03-2023,Streak,Visual,0,2,36
07-03-2023,Collection,Visual,0,5,207
07-03-2023,Course Certificate,Visual,0,11,134
08-03-2023,Level,Visual,0,2,419
08-03-2023,Streak,Visual,0,4,30
08-03-2023,Collection,Visual,0,5,208
08-03-2023,Course Certificate,Visual,0,19,175
09-03-2023,Level,Visual,0,7,338
09-03-2023,Streak,Visual,0,4,31
09-03-2023,Collection,Visual,0,0,149
09-03-2023,Course Certificate,Visual,0,19,166
09-03-2023,Career Track Certificate,Visual,0,0,3
10-03-2023,Level,Visual,0,2,300
10-03-2023,Streak,Visual,0,4,41
10-03-2023,Collection,Visual,0,1,132
10-03-2023,Course Certificate,Visual,0,5,139
10-03-2023,Career Track Certificate,Visual,0,0,2
11-03-2023,Text Post,Text Post,1,1,1
11-03-2023,Level,Visual,0,1,297
11-03-2023,Goal,Visual,0,1,4
11-03-2023,Streak,Visual,0,6,39
11-03-2023,Collection,Visual,0,1,135
11-03-2023,Course Certificate,Visual,0,10,155
11-03-2023,Career Track Certificate,Visual,0,0,1
12-03-2023,Text Post,Text Post,0,0,1
12-03-2023,Level,Visual,0,2,298
12-03-2023,Goal,Visual,0,17,64
12-03-2023,Streak,Visual,0,0,36
12-03-2023,Collection,Visual,0,0,131
12-03-2023,Course Certificate,Visual,0,4,177
12-03-2023,Career Track Certificate,Visual,1,1,1
13-03-2023,Level,Visual,0,2,355
13-03-2023,Goal,Visual,0,1,6
13-03-2023,Streak,Visual,0,0,40
13-03-2023,Collection,Visual,0,0,151
13-03-2023,Course Certificate,Visual,0,3,198
14-03-2023,Level,Visual,0,1,375
14-03-2023,Streak,Visual,0,1,32
14-03-2023,Collection,Visual,0,0,151
14-03-2023,Course Certificate,Visual,0,6,202
14-03-2023,Career Track Certificate,Visual,0,0,1
15-03-2023,Level,Visual,0,3,372
15-03-2023,Streak,Visual,0,3,24
15-03-2023,Collection,Visual,0,1,167
15-03-2023,Course Certificate,Visual,1,28,241
16-03-2023,Level,Visual,0,1,365
16-03-2023,Streak,Visual,0,0,31
16-03-2023,Collection,Visual,0,0,153
16-03-2023,Course Certificate,Visual,0,5,187
17-03-2023,Text Post,Text Post,2,1,2
17-03-2023,Level,Visual,0,4,287
17-03-2023,Streak,Visual,0,3,41
17-03-2023,Collection,Visual,0,3,116
17-03-2023,Course Certificate,Visual,1,46,269
17-03-2023,Career Track Certificate,Visual,2,3,4
18-03-2023,Text Post,Text Post,3,3,3
18-03-2023,Level,Visual,0,2,300
18-03-2023,Goal,Visual,0,3,7
18-03-2023,Streak,Visual,0,0,37
18-03-2023,Collection,Visual,0,2,102
18-03-2023,Course Certificate,Visual,0,8,212
19-03-2023,Level,Visual,0,3,327
19-03-2023,Goal,Visual,0,34,76
19-03-2023,Streak,Visual,0,4,33
19-03-2023,Collection,Visual,0,1,129
19-03-2023,Course Certificate,Visual,0,5,296
19-03-2023,Career Track Certificate,Visual,0,0,3
20-03-2023,Text Post,Text Post,1,1,1
20-03-2023,Level,Visual,0,3,397
20-03-2023,Goal,Visual,0,1,4
20-03-2023,Streak,Visual,0,2,27
20-03-2023,Collection,Visual,0,0,139
20-03-2023,Course Certificate,Visual,0,11,452
20-03-2023,Career Track Certificate,Visual,0,0,1
21-03-2023,Level,Visual,0,2,369
21-03-2023,Streak,Visual,1,2,29
21-03-2023,Collection,Visual,0,3,136
21-03-2023,Course Certificate,Visual,0,10,516
21-03-2023,Career Track Certificate,Visual,0,0,5
22-03-2023,Text Post,Text Post,1,1,1
22-03-2023,Level,Visual,0,1,100
22-03-2023,Streak,Visual,0,2,15
22-03-2023,Collection,Visual,0,1,42
22-03-2023,Course Certificate,Visual,0,8,36
22-03-2023,Career Track Certificate,Visual,0,0,1
23-03-2023,Text Post,Text Post,1,1,1
23-03-2023,Level,Visual,0,0,105
23-03-2023,Streak,Visual,0,6,24
23-03-2023,Collection,Visual,0,0,52
23-03-2023,Course Certificate,Visual,0,5,41
23-03-2023,Career Track Certificate,Visual,0,0,1
24-03-2023,Text Post,Text Post,0,1,1
24-03-2023,Level,Visual,0,1,88
24-03-2023,Streak,Visual,0,2,19
24-03-2023,Collection,Visual,0,0,35
24-03-2023,Course Certificate,Visual,0,2,35
25-03-2023,Level,Visual,0,2,85
25-03-2023,Goal,Visual,0,3,5
25-03-2023,Streak,Visual,0,4,27
25-03-2023,Collection,Visual,0,2,38
25-03-2023,Course Certificate,Visual,0,4,30
26-03-2023,Level,Visual,1,2,83
26-03-2023,Goal,Visual,0,29,60
26-03-2023,Streak,Visual,0,3,15
26-03-2023,Collection,Visual,0,1,40
26-03-2023,Course Certificate,Visual,0,4,58
26-03-2023,Career Track Certificate,Visual,0,0,1
27-03-2023,Level,Visual,0,2,90
27-03-2023,Goal,Visual,0,1,2
27-03-2023,Streak,Visual,0,5,19
27-03-2023,Collection,Visual,0,1,33
27-03-2023,Course Certificate,Visual,0,4,36
28-03-2023,Text Post,Text Post,1,2,2
28-03-2023,Level,Visual,0,3,78
28-03-2023,Streak,Visual,0,2,27
28-03-2023,Collection,Visual,0,2,27
28-03-2023,Course Certificate,Visual,0,7,37
29-03-2023,Text Post,Text Post,4,6,6
29-03-2023,Level,Visual,0,4,80
29-03-2023,Streak,Visual,0,4,18
29-03-2023,Collection,Visual,0,1,33
29-03-2023,Course Certificate,Visual,0,9,41
29-03-2023,Career Track Certificate,Visual,0,0,1
30-03-2023,Text Post,Text Post,1,2,2
30-03-2023,Level,Visual,1,4,79
30-03-2023,Streak,Visual,0,3,25
30-03-2023,Collection,Visual,0,2,32
30-03-2023,Course Certificate,Visual,1,9,47
31-03-2023,Text Post,Text Post,1,1,1
31-03-2023,Level,Visual,1,2,89
31-03-2023,Streak,Visual,0,3,20
31-03-2023,Collection,Visual,0,0,38
31-03-2023,Course Certificate,Visual,0,18,53
31-03-2023,Career Track Certificate,Visual,1,1,3
01-04-2023,Text Post,Text Post,1,1,1
01-04-2023,Level,Visual,0,3,97
01-04-2023,Goal,Visual,0,3,5
01-04-2023,Streak,Visual,0,5,28
01-04-2023,Collection,Visual,0,0,24
01-04-2023,Course Certificate,Visual,0,5,29
02-04-2023,Text Post,Text Post,1,1,1
02-04-2023,Level,Visual,0,5,94
02-04-2023,Goal,Visual,0,35,66
02-04-2023,Streak,Visual,0,4,13
02-04-2023,Collection,Visual,0,1,35
02-04-2023,Course Certificate,Visual,0,28,56
02-04-2023,Career Track Certificate,Visual,0,0,1
03-04-2023,Text Post,Text Post,1,2,2
03-04-2023,Level,Visual,0,5,98
03-04-2023,Goal,Visual,0,2,6
03-04-2023,Streak,Visual,0,4,16
03-04-2023,Collection,Visual,0,1,41
03-04-2023,Course Certificate,Visual,0,11,49
04-04-2023,Level,Visual,0,1,113
04-04-2023,Streak,Visual,0,1,16
04-04-2023,Collection,Visual,0,1,28
04-04-2023,Course Certificate,Visual,0,14,46
05-04-2023,Level,Visual,0,4,98
05-04-2023,Streak,Visual,0,4,20
05-04-2023,Collection,Visual,0,0,22
05-04-2023,Course Certificate,Visual,0,1,22
05-04-2023,Career Track Certificate,Visual,0,0,1
06-04-2023,Level,Visual,0,3,85
06-04-2023,Streak,Visual,0,5,19
06-04-2023,Collection,Visual,0,1,31
06-04-2023,Course Certificate,Visual,1,7,38
07-04-2023,Text Post,Text Post,0,1,1
07-04-2023,Level,Visual,0,1,111
07-04-2023,Streak,Visual,0,2,24
07-04-2023,Collection,Visual,0,1,28
07-04-2023,Course Certificate,Visual,0,14,44
08-04-2023,Text Post,Text Post,1,1,1
08-04-2023,Level,Visual,0,2,91
08-04-2023,Goal,Visual,0,2,6
08-04-2023,Streak,Visual,0,8,29
08-04-2023,Collection,Visual,0,0,33
08-04-2023,Course Certificate,Visual,0,3,35
09-04-2023,Level,Visual,0,2,100
09-04-2023,Goal,Visual,0,26,56
09-04-2023,Streak,Visual,0,0,17
09-04-2023,Collection,Visual,0,1,26
09-04-2023,Course Certificate,Visual,0,2,32
10-04-2023,Text Post,Text Post,2,3,4
10-04-2023,Level,Visual,0,3,101
10-04-2023,Goal,Visual,0,2,5
10-04-2023,Streak,Visual,0,2,15
10-04-2023,Collection,Visual,1,2,40
10-04-2023,Course Certificate,Visual,0,10,50
11-04-2023,Level,Visual,0,2,120
11-04-2023,Streak,Visual,0,1,12
11-04-2023,Collection,Visual,0,0,36
11-04-2023,Course Certificate,Visual,0,2,30
12-04-2023,Text Post,Text Post,1,3,3
12-04-2023,Level,Visual,0,0,92
12-04-2023,Streak,Visual,0,6,19
12-04-2023,Collection,Visual,0,0,29
12-04-2023,Course Certificate,Visual,0,3,40
13-04-2023,Text Post,Text Post,1,4,4
13-04-2023,Level,Visual,0,3,101
13-04-2023,Streak,Visual,0,2,23
13-04-2023,Collection,Visual,0,0,20
13-04-2023,Course Certificate,Visual,0,1,22
13-04-2023,Career Track Certificate,Visual,0,0,1
14-04-2023,Text Post,Text Post,1,2,2
14-04-2023,Level,Visual,0,1,99
14-04-2023,Streak,Visual,0,2,13
14-04-2023,Collection,Visual,0,1,34
14-04-2023,Course Certificate,Visual,0,4,26
15-04-2023,Text Post,Text Post,0,1,1
15-04-2023,Level,Visual,0,5,102
15-04-2023,Goal,Visual,0,2,6
15-04-2023,Streak,Visual,0,3,19
15-04-2023,Collection,Visual,0,0,26
15-04-2023,Course Certificate,Visual,0,9,32
16-04-2023,Text Post,Text Post,1,0,1
16-04-2023,Level,Visual,1,2,96
16-04-2023,Goal,Visual,0,30,62
16-04-2023,Streak,Visual,0,4,17
16-04-2023,Collection,Visual,0,0,24
16-04-2023,Course Certificate,Visual,0,8,43
17-04-2023,Text Post,Text Post,1,1,1
17-04-2023,Level,Visual,0,1,92
17-04-2023,Goal,Visual,0,3,7
17-04-2023,Streak,Visual,0,1,16
17-04-2023,Collection,Visual,0,0,35
17-04-2023,Course Certificate,Visual,0,7,42
18-04-2023,Level,Visual,1,1,93
18-04-2023,Streak,Visual,0,1,16
18-04-2023,Collection,Visual,0,0,40
18-04-2023,Course Certificate,Visual,0,5,60
18-04-2023,Career Track Certificate,Visual,0,1,1
19-04-2023,Text Post,Text Post,1,2,2
19-04-2023,Level,Visual,0,1,90
19-04-2023,Streak,Visual,0,2,14
19-04-2023,Collection,Visual,0,1,27
19-04-2023,Course Certificate,Visual,0,7,42
20-04-2023,Text Post,Text Post,0,1,1
20-04-2023,Level,Visual,0,0,89
20-04-2023,Streak,Visual,0,2,12
20-04-2023,Collection,Visual,0,1,26
20-04-2023,Course Certificate,Visual,0,7,47
20-04-2023,Career Track Certificate,Visual,0,0,1
21-04-2023,Text Post,Text Post,1,1,1
21-04-2023,Level,Visual,1,4,89
21-04-2023,Streak,Visual,0,5,21
21-04-2023,Collection,Visual,0,2,32
21-04-2023,Course Certificate,Visual,0,5,38
22-04-2023,Level,Visual,0,2,73
22-04-2023,Goal,Visual,0,4,8
22-04-2023,Streak,Visual,0,5,20
22-04-2023,Collection,Visual,0,3,25
22-04-2023,Course Certificate,Visual,0,3,24
22-04-2023,Career Track Certificate,Visual,0,0,2
23-04-2023,Level,Visual,0,2,79
23-04-2023,Goal,Visual,0,32,64
23-04-2023,Streak,Visual,0,3,10
23-04-2023,Collection,Visual,0,3,30
23-04-2023,Course Certificate,Visual,0,9,31
